high,low,open,close,volume,adj_close,symbol,date,day_index_of_week,day_of_week,change,change_percentage,go_up,range
127.12999725341797,123.75,124.66000366210938,126.72000122070312,2417000,126.72000122070312,MMM,2023-01-06,4,Friday,1.7000045776367188,1.38,True,123.75~127.13
129.4600067138672,126.11000061035156,127.0,126.79000091552734,2871300,126.79000091552734,MMM,2023-01-09,0,Monday,0.279998779296875,0.22,True,126.11~129.46
128.19000244140625,126.69999694824219,127.06999969482422,128.1300048828125,1648100,128.1300048828125,MMM,2023-01-10,1,Tuesday,0.279998779296875,0.22,True,126.7~128.19
61.68000030517578,59.849998474121094,60.04999923706055,61.439998626708984,831700,61.439998626708984,AOS,2023-01-06,4,Friday,0.6699981689453125,1.13,True,59.85~61.68
63.099998474121094,61.29999923706055,61.54999923706055,61.4900016784668,1195900,61.4900016784668,AOS,2023-01-09,0,Monday,0.1100006103515625,0.18,True,61.3~63.1
60.599998474121094,59.5099983215332,60.06999969482422,59.86000061035156,1571600,59.86000061035156,AOS,2023-01-10,1,Tuesday,-1.4200019836425781,-2.31,False,59.51~60.6
112.73999786376953,110.20999908447266,112.0,112.33000183105469,3800000,112.33000183105469,ABT,2023-01-06,4,Friday,1.1999969482421875,1.08,True,110.21~112.74
113.66999816894531,112.0199966430664,113.5199966430664,112.1500015258789,7277700,112.1500015258789,ABT,2023-01-09,0,Monday,1.1899948120117188,1.06,True,112.02~113.67
114.08000183105469,112.31999969482422,112.5,113.8499984741211,5589800,113.8499984741211,ABT,2023-01-10,1,Tuesday,0.34999847412109375,0.31,True,112.32~114.08
168.11000061035156,164.1199951171875,164.83999633789062,166.5500030517578,5098600,166.5500030517578,ABBV,2023-01-06,4,Friday,1.3499908447265625,0.83,True,164.12~168.11
166.27999877929688,160.8800048828125,165.89999389648438,161.66000366210938,7833000,161.66000366210938,ABBV,2023-01-09,0,Monday,-0.6500091552734375,-0.39,False,160.88~166.28
162.4199981689453,158.3000030517578,162.22999572753906,159.63999938964844,5935800,159.63999938964844,ABBV,2023-01-10,1,Tuesday,0.5699920654296875,0.35,True,158.3~162.42
270.489990234375,261.3699951171875,263.9800109863281,269.2099914550781,1587000,269.2099914550781,ACN,2023-01-06,4,Friday,1.0,0.38,True,261.37~270.49
278.489990234375,271.510009765625,271.9200134277344,273.75,2181500,273.75,ACN,2023-01-09,0,Monday,2.71002197265625,1.01,True,271.51~278.49
276.2900085449219,271.2699890136719,273.3399963378906,274.92999267578125,1853000,274.92999267578125,ACN,2023-01-10,1,Tuesday,-0.410003662109375,-0.15,False,271.27~276.29
77.70999908447266,77.08000183105469,77.1500015258789,77.58999633789062,5443900,77.58999633789062,ATVI,2023-01-06,4,Friday,0.19000244140625,0.25,True,77.08~77.71
78.18000030517578,77.18000030517578,77.5,77.22000122070312,8414600,77.22000122070312,ATVI,2023-01-09,0,Monday,-0.089996337890625,-0.12,False,77.18~78.18
77.94999694824219,77.04000091552734,77.04000091552734,77.69000244140625,5133800,77.69000244140625,ATVI,2023-01-10,1,Tuesday,-0.18000030517578125,-0.23,False,77.04~77.95
86.38999938964844,84.44000244140625,84.88999938964844,85.94999694824219,4058600,85.94999694824219,ADM,2023-01-06,4,Friday,0.6599960327148438,0.78,True,84.44~86.39
87.05000305175781,85.30999755859375,86.0,85.37000274658203,3935900,85.37000274658203,ADM,2023-01-09,0,Monday,0.0500030517578125,0.06,True,85.31~87.05
86.4000015258789,85.16999816894531,85.68000030517578,86.2300033569336,2615000,86.2300033569336,ADM,2023-01-10,1,Tuesday,0.30999755859375,0.36,True,85.17~86.4
334.8800048828125,322.44000244140625,332.2799987792969,332.75,2216100,332.75,ADBE,2023-01-06,4,Friday,3.839996337890625,1.17,True,322.44~334.88
349.4599914550781,338.4200134277344,338.8999938964844,341.9800109863281,3133800,341.9800109863281,ADBE,2023-01-09,0,Monday,6.149993896484375,1.85,True,338.42~349.46
344.6300048828125,336.79998779296875,337.6499938964844,338.70001220703125,1669800,338.70001220703125,ADBE,2023-01-10,1,Tuesday,-4.33001708984375,-1.27,False,336.8~344.63
155.74000549316406,153.3300018310547,153.6699981689453,154.02000427246094,717900,154.02000427246094,AAP,2023-01-06,4,Friday,0.5099945068359375,0.33,True,153.33~155.74
155.1199951171875,152.14999389648438,154.02999877929688,152.25999450683594,781200,152.25999450683594,AAP,2023-01-09,0,Monday,0.0099945068359375,0.01,True,152.15~155.12
153.6300048828125,151.27999877929688,152.0,151.97000122070312,642700,151.97000122070312,AAP,2023-01-10,1,Tuesday,-0.2599945068359375,-0.17,False,151.28~153.63
64.30000305175781,60.04999923706055,63.150001525878906,63.959999084472656,70131100,63.959999084472656,AMD,2023-01-06,4,Friday,0.8199996948242188,1.32,True,60.05~64.3
69.31999969482422,65.66999816894531,66.22000122070312,67.23999786376953,69741300,67.23999786376953,AMD,2023-01-09,0,Monday,2.2600021362304688,3.53,True,65.67~69.32
68.1500015258789,66.55999755859375,66.66999816894531,68.05000305175781,41110900,68.05000305175781,AMD,2023-01-10,1,Tuesday,-0.5699996948242188,-0.85,False,66.56~68.15
26.649999618530273,26.020000457763672,26.110000610351562,26.43000030517578,4184300,26.43000030517578,AES,2023-01-06,4,Friday,0.23999977111816406,0.93,True,26.02~26.65
27.309999465942383,26.280000686645508,26.40999984741211,27.25,4583600,27.25,AES,2023-01-09,0,Monday,-0.020000457763671875,-0.08,False,26.28~27.31
27.3700008392334,26.610000610351562,27.219999313354492,27.229999542236328,2932500,27.229999542236328,AES,2023-01-10,1,Tuesday,-0.030000686645507812,-0.11,False,26.61~27.37
